Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	
Timestamp	Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	
RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	
no units	mSecs	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	deg/sec*	no units	deg/sec*	no units	deg/sec*	no units	local*	no units	local*	no units	local*	
640	60000	1221	0,530120481927711	2003	9,95180722891566	2008	0,469879518072289	-1088	0,66707541385653	16192	-9,92765174739424	-832	0,510116492949111	0	0	0	0	0	0	182	0,165454545454545	233	-0,211818181818182	-662	-0,675510204081633	
1280	60019,53125	1221	0,55421686746988	2001	9,95180722891566	2010	0,445783132530121	-1216	0,745554874310239	16128	-9,88841201716738	-704	0,431637032495402	3170	3,9236641221374	-257	-48,3969465648855	5927	-90,4885496183206	183	0,166363636363636	251	-0,228181818181818	-672	-0,685714285714286	
1920	60039,0625	1214	0,626506024096386	1995	10,0361445783133	2003	0,530120481927711	-1280	0,784794604537094	16192	-9,92765174739424	-832	0,510116492949111	78	0,977099236641221	-64	-1,19083969465649	89	-1,3587786259542	183	0,166363636363636	220	-0,2	-663	-0,676530612244898	
2560	60058,59375	1218	0,698795180722892	1989	9,98795180722892	2005	0,506024096385542	-1472	0,902513795217658	16192	-9,92765174739424	-832	0,510116492949111	76	1,38931297709924	-91	-1,16030534351145	97	-1,48091603053435	175	0,159090909090909	222	-0,201818181818182	-669	-0,68265306122449	
3200	60078,125	1212	0,698795180722892	1989	10,0602409638554	2001	0,55421686746988	-1344	0,824034334763949	16320	-10,0061312078479	-768	0,470876762722256	31	1,2824427480916	-84	-0,473282442748092	48	-0,732824427480916	181	0,164545454545455	251	-0,228181818181818	-674	-0,687755102040816	
3840	60097,65625	1213	0,578313253012048	1999	10,0481927710843	2005	0,506024096385542	-1280	0,784794604537094	16320	-10,0061312078479	-768	0,470876762722256	-18	0,656488549618321	-43	0,274809160305344	-15	0,229007633587786	189	0,171818181818182	239	-0,217272727272727	-671	-0,684693877551021	
4480	60117,1875	1218	0,566265060240964	2000	9,98795180722892	2001	0,55421686746988	-1216	0,745554874310239	16064	-9,84917228694053	-896	0,549356223175966	-35	-0,427480916030534	28	0,534351145038168	-40	0,610687022900763	180	0,163636363636364	232	-0,210909090909091	-672	-0,685714285714286	
5120	60136,71875	1224	0,493975903614458	2006	9,91566265060241	2001	0,55421686746988	-1152	0,706315144083384	16128	-9,88841201716738	-960	0,58859595340282	-51	0,152671755725191	-10	0,778625954198473	-6	0,0916030534351145	181	0,164545454545455	234	-0,212727272727273	-670	-0,683673469387755	
5760	60156,25	1224	0,530120481927711	2003	9,91566265060241	2007	0,481927710843373	-1088	0,66707541385653	16000	-9,80993255671367	-960	0,58859595340282	-25	0,0458015267175573	-3	0,381679389312977	20	-0,305343511450382	187	0,17	238	-0,216363636363636	-671	-0,684693877551021	
6400	60175,78125	1216	0,662650602409639	1992	10,0120481927711	2000	0,566265060240964	-1344	0,824034334763949	16192	-9,92765174739424	-1024	0,627835683629675	79	1,25190839694656	-82	-1,20610687022901	46	-0,702290076335878	189	0,171818181818182	220	-0,2	-664	-0,677551020408163	
7040	60195,3125	1214	0,650602409638554	1993	10,0361445783133	2007	0,481927710843373	-1344	0,824034334763949	16256	-9,96689147762109	-704	0,431637032495402	37	1,41984732824427	-93	-0,564885496183206	52	-0,793893129770992	183	0,166363636363636	221	-0,200909090909091	-665	-0,678571428571429	
7680	60214,84375	1226	0,55421686746988	2001	9,89156626506024	2002	0,542168674698795	-1216	0,745554874310239	16192	-9,92765174739424	-896	0,549356223175966	-54	0,442748091603053	-29	0,82442748091603	38	-0,580152671755725	192	0,174545454545455	219	-0,199090909090909	-669	-0,68265306122449	
8320	60234,375	1216	0,566265060240964	2000	10,0120481927711	2003	0,530120481927711	-1152	0,706315144083384	16192	-9,92765174739424	-896	0,549356223175966	-64	0,641221374045801	-42	0,977099236641221	31	-0,473282442748092	191	0,173636363636364	220	-0,2	-664	-0,677551020408163	
8960	60253,90625	1214	0,614457831325301	1996	10,0361445783133	2004	0,518072289156627	-1216	0,745554874310239	16320	-10,0061312078479	-896	0,549356223175966	-25	1,58778625954198	-104	0,381679389312977	65	-0,99236641221374	193	0,175454545454545	232	-0,210909090909091	-673	-0,686734693877551	
9600	60273,4375	1208	0,650602409638554	1993	10,1084337349398	2000	0,566265060240964	-1280	0,784794604537094	16320	-10,0061312078479	-768	0,470876762722256	-19	1,19083969465649	-78	0,290076335877863	98	-1,49618320610687	187	0,17	217	-0,197272727272727	-673	-0,686734693877551	
10240	60292,96875	1211	0,626506024096386	1995	10,0722891566265	2001	0,55421686746988	-1344	0,824034334763949	16384	-10,0453709380748	-832	0,510116492949111	16	1,49618320610687	-98	-0,244274809160305	18	-0,274809160305344	182	0,165454545454545	240	-0,218181818181818	-665	-0,678571428571429	
10880	60312,5	1217	0,530120481927711	2003	10	2002	0,542168674698795	-1152	0,706315144083384	16128	-9,88841201716738	-768	0,470876762722256	8	0,152671755725191	-10	-0,122137404580153	-6	0,0916030534351145	189	0,171818181818182	239	-0,217272727272727	-669	-0,68265306122449	
11520	60332,03125	1226	0,493975903614458	2006	9,89156626506024	1998	0,590361445783133	-1088	0,66707541385653	16064	-9,84917228694053	-832	0,510116492949111	-14	0,16793893129771	-11	0,213740458015267	-7	0,106870229007634	185	0,168181818181818	246	-0,223636363636364	-674	-0,687755102040816	
12160	60351,5625	1221	0,493975903614458	2006	9,95180722891566	1999	0,578313253012048	-1024	0,627835683629675	16128	-9,88841201716738	-960	0,58859595340282	-18	0,183206106870229	-12	0,274809160305344	73	-1,11450381679389	181	0,164545454545455	226	-0,205454545454545	-674	-0,687755102040816	
12800	60371,09375	1217	0,542168674698795	2002	10	2001	0,55421686746988	-1216	0,745554874310239	16128	-9,88841201716738	-768	0,470876762722256	-11	0,656488549618321	-43	0,16793893129771	80	-1,22137404580153	191	0,173636363636364	220	-0,2	-670	-0,683673469387755	
13440	60390,625	1217	0,518072289156627	2004	10	2006	0,493975903614458	-1088	0,66707541385653	16320	-10,0061312078479	-576	0,353157572041692	16	0,870229007633588	-57	-0,244274809160305	83	-1,26717557251908	192	0,174545454545455	221	-0,200909090909091	-661	-0,674489795918367	
14080	60410,15625	1209	0,602409638554217	1997	10,0963855421687	2001	0,55421686746988	-1216	0,745554874310239	16320	-10,0061312078479	-896	0,549356223175966	6	0,549618320610687	-36	-0,0916030534351145	95	-1,45038167938931	190	0,172727272727273	232	-0,210909090909091	-666	-0,679591836734694	
14720	60429,6875	1219	0,614457831325301	1996	9,97590361445783	2004	0,518072289156627	-1280	0,784794604537094	16192	-9,92765174739424	-640	0,392397302268547	22	1,0381679389313	-68	-0,33587786259542	128	-1,95419847328244	190	0,172727272727273	220	-0,2	-671	-0,684693877551021	
15360	60449,21875	1214	0,698795180722892	1989	10,0361445783133	2001	0,55421686746988	-1280	0,784794604537094	16256	-9,96689147762109	-896	0,549356223175966	-51	0,564885496183206	-37	0,778625954198473	134	-2,04580152671756	181	0,164545454545455	242	-0,22	-672	-0,685714285714286	
16000	60468,75	1216	0,674698795180723	1991	10,0120481927711	2004	0,518072289156627	-1344	0,824034334763949	16256	-9,96689147762109	-704	0,431637032495402	-74	0,656488549618321	-43	1,12977099236641	92	-1,40458015267176	187	0,17	243	-0,220909090909091	-671	-0,684693877551021	
16640	60488,28125	1214	0,662650602409639	1992	10,0361445783133	1996	0,614457831325301	-1408	0,863274064990803	16256	-9,96689147762109	-1088	0,66707541385653	-118	0,0305343511450382	-2	1,80152671755725	34	-0,519083969465649	183	0,166363636363636	247	-0,224545454545455	-674	-0,687755102040816	
17280	60507,8125	1213	0,530120481927711	2003	10,0481927710843	2003	0,530120481927711	-1088	0,66707541385653	16256	-9,96689147762109	-832	0,510116492949111	-129	0,0763358778625954	-5	1,96946564885496	34	-0,519083969465649	180	0,163636363636364	226	-0,205454545454545	-674	-0,687755102040816	
17920	60527,34375	1226	0,530120481927711	2003	9,89156626506024	2006	0,493975903614458	-1088	0,66707541385653	16064	-9,84917228694053	-640	0,392397302268547	-29	-1,20610687022901	79	0,442748091603053	51	-0,778625954198473	191	0,173636363636364	219	-0,199090909090909	-666	-0,679591836734694	
18560	60546,875	1219	0,650602409638554	1993	9,97590361445783	2003	0,530120481927711	-1408	0,863274064990803	16064	-9,84917228694053	-832	0,510116492949111	190	-0,564885496183206	37	-2,90076335877863	54	-0,82442748091603	183	0,166363636363636	253	-0,23	-670	-0,683673469387755	
19200	60566,40625	1223	0,807228915662651	1980	9,92771084337349	1997	0,602409638554217	-1600	0,980993255671367	16064	-9,84917228694053	-960	0,58859595340282	246	0,610687022900763	-40	-3,75572519083969	54	-0,82442748091603	191	0,173636363636364	231	-0,21	-669	-0,68265306122449	
19840	60585,9375	1214	0,746987951807229	1985	10,0361445783133	1999	0,578313253012048	-1408	0,863274064990803	16256	-9,96689147762109	-896	0,549356223175966	96	0,687022900763359	-45	-1,46564885496183	64	-0,977099236641221	192	0,174545454545455	219	-0,199090909090909	-670	-0,683673469387755	
20480	60605,46875	1213	0,710843373493976	1988	10,0481927710843	2001	0,55421686746988	-1408	0,863274064990803	16320	-10,0061312078479	-768	0,470876762722256	-50	0,213740458015267	-14	0,763358778625954	26	-0,396946564885496	186	0,169090909090909	236	-0,214545454545455	-666	-0,679591836734694	
21120	60625	1219	0,578313253012048	1999	9,97590361445783	2001	0,55421686746988	-1280	0,784794604537094	16192	-9,92765174739424	-832	0,510116492949111	-61	-0,67175572519084	44	0,931297709923664	-17	0,259541984732824	191	0,173636363636364	241	-0,219090909090909	-669	-0,68265306122449	
21760	60644,53125	1219	0,602409638554217	1997	9,97590361445783	2004	0,518072289156627	-1344	0,824034334763949	16128	-9,88841201716738	-896	0,549356223175966	15	-1,02290076335878	67	-0,229007633587786	-42	0,641221374045801	184	0,167272727272727	241	-0,219090909090909	-662	-0,675510204081633	
22400	60664,0625	1223	0,566265060240964	2000	9,92771084337349	2003	0,530120481927711	-1280	0,784794604537094	16128	-9,88841201716738	-832	0,510116492949111	9	0	0	-0,137404580152672	-2	0,0305343511450382	177	0,160909090909091	235	-0,213636363636364	-671	-0,684693877551021	
